Date,Company,R&D_Spending_USD_Mn,AI_Revenue_USD_Mn,AI_Revenue_Growth_%,Event,Stock_Impact_%
2015-01-01,OpenAI,5.92,0.63,-36.82,,-0.36
2015-01-02,OpenAI,5.41,1.81,80.59,,0.41
2015-01-03,OpenAI,4.5,0.61,-38.88,,0.23
2015-01-04,OpenAI,5.45,0.95,-5.34,,0.93
2015-01-05,OpenAI,3.4,1.48,48.45,,-0.09
2015-01-06,OpenAI,5.47,1.08,8.32,,0.74
2015-01-07,OpenAI,6.95,0.67,-32.95,,-0.8
2015-01-08,OpenAI,5.06,1.43,43.49,,-0.09
2015-01-09,OpenAI,5.26,0.33,-67.28,,-0.72
2015-01-10,OpenAI,2.0,0.74,-25.8,,0.5
2015-01-11,OpenAI,5.34,1.88,88.19,,-0.4
2015-01-12,OpenAI,6.1,0.33,-66.82,,-0.76
2015-01-13,OpenAI,3.09,0.74,-25.84,,-0.35
2015-01-14,OpenAI,5.18,0.72,-27.93,,0.31
2015-01-15,OpenAI,6.16,0.95,-4.66,,0.53
2015-01-16,OpenAI,4.68,0.88,-11.77,,-0.82
2015-01-17,OpenAI,4.19,0.61,-38.76,,-0.21
2015-01-18,OpenAI,3.46,1.16,15.85,,-0.41
2015-01-19,OpenAI,4.12,1.76,75.87,,0.56
2015-01-20,OpenAI,4.37,0.91,-9.27,Cloud AI launch,2.43
2015-01-21,OpenAI,5.58,1.09,9.27,,0.36
2015-01-22,OpenAI,4.87,1.21,21.4,,-0.37
2015-01-23,OpenAI,5.46,0.94,-5.58,,-0.78
2015-01-24,OpenAI,5.75,0.35,-64.64,,-0.88
2015-01-25,OpenAI,4.3,0.77,-22.72,,-0.68
2015-01-26,OpenAI,6.7,0.41,-58.59,,-0.52
2015-01-27,OpenAI,5.85,0.83,-16.94,,-0.87
2015-01-28,OpenAI,4.13,1.15,15.13,,-0.56
2015-01-29,OpenAI,4.65,0.84,-15.68,,0.54
2015-01-30,OpenAI,5.86,1.24,24.25,,0.93
2015-01-31,OpenAI,5.91,0.4,-60.12,,-0.51
2015-02-01,OpenAI,5.15,1.0,-0.31,,-0.63
2015-02-02,OpenAI,3.88,0.64,-35.84,,0.42
2015-02-03,OpenAI,5.37,1.29,29.42,,-0.43
2015-02-04,OpenAI,3.39,1.93,93.05,,0.29
2015-02-05,OpenAI,4.14,1.15,15.19,,0.51
2015-02-06,OpenAI,7.11,0.73,-26.87,,-0.54
2015-02-07,OpenAI,3.86,0.57,-42.95,,-0.89
2015-02-08,OpenAI,5.66,1.33,32.8,,0.62
2015-02-09,OpenAI,5.14,1.33,33.22,,0.07
2015-02-10,OpenAI,5.17,0.71,-28.54,,-0.67
2015-02-11,OpenAI,2.79,1.14,13.98,,-0.14
2015-02-12,OpenAI,5.46,0.61,-39.05,,-0.32
2015-02-13,OpenAI,5.97,0.72,-27.54,,0.62
2015-02-14,OpenAI,5.42,1.41,41.3,,-0.79
2015-02-15,OpenAI,5.06,0.63,-37.11,,0.09
2015-02-16,OpenAI,2.59,1.56,55.95,,-0.23
2015-02-17,OpenAI,6.3,1.08,8.33,,-0.17
2015-02-18,OpenAI,5.7,1.26,26.47,,0.58
2015-02-19,OpenAI,5.46,0.16,-84.38,,-0.81
2015-02-20,OpenAI,5.21,0.46,-54.02,,0.7
2015-02-21,OpenAI,4.92,1.38,38.47,,0.82
2015-02-22,OpenAI,5.17,1.0,-0.42,,-0.18
2015-02-23,OpenAI,4.02,1.08,7.68,,0.3
2015-02-24,OpenAI,4.52,0.9,-9.85,,-0.58
2015-02-25,OpenAI,6.12,1.12,12.47,,0.29
2015-02-26,OpenAI,5.9,1.33,32.68,,-0.72
2015-02-27,OpenAI,7.26,0.97,-2.93,,0.85
2015-02-28,OpenAI,4.11,1.26,26.38,,-0.19
2015-03-01,OpenAI,4.65,1.08,8.12,,-0.92
2015-03-02,OpenAI,2.97,0.16,-84.19,,0.32
2015-03-03,OpenAI,5.35,0.7,-30.36,,-0.76
2015-03-04,OpenAI,7.35,1.34,34.46,,-0.01
2015-03-05,OpenAI,4.11,0.74,-25.63,,0.27
2015-03-06,OpenAI,4.75,1.33,33.02,,0.67
2015-03-07,OpenAI,3.01,0.08,-91.9,,-0.14
2015-03-08,OpenAI,3.95,0.81,-19.41,,0.92
2015-03-09,OpenAI,5.15,1.53,53.01,,0.59
2015-03-10,OpenAI,6.9,0.9,-9.72,,0.62
2015-03-11,OpenAI,3.93,1.51,51.36,,0.2
2015-03-12,OpenAI,5.43,0.6,-40.09,,0.16
2015-03-13,OpenAI,5.17,1.09,9.03,,-0.1
2015-03-14,OpenAI,4.8,0.49,-51.24,,0.34
2015-03-15,OpenAI,2.2,0.99,-0.85,,-0.58
2015-03-16,OpenAI,5.95,2.44,143.86,,-0.8
2015-03-17,OpenAI,4.13,1.02,1.75,,-0.15
2015-03-18,OpenAI,4.44,-0.21,-121.12,,0.56
2015-03-19,OpenAI,5.1,1.56,55.77,AI ethics policy update,2.8
2015-03-20,OpenAI,6.89,0.78,-21.55,,-0.94
2015-03-21,OpenAI,5.79,1.49,48.82,,0.88
2015-03-22,OpenAI,4.27,0.4,-59.94,,-0.55
2015-03-23,OpenAI,6.65,1.34,33.72,,-0.79
2015-03-24,OpenAI,4.73,0.41,-58.89,,0.22
2015-03-25,OpenAI,5.54,1.05,5.32,,-0.52
2015-03-26,OpenAI,5.7,0.62,-38.45,,-0.56
2015-03-27,OpenAI,5.65,0.92,-7.53,,0.47
2015-03-28,OpenAI,5.48,0.99,-0.98,,-0.85
2015-03-29,OpenAI,4.69,1.2,19.77,,0.32
2015-03-30,OpenAI,4.98,1.35,34.56,,-0.6
2015-03-31,OpenAI,4.77,0.77,-23.06,,0.88
